#,Company,Batch,YC URL
151,Defer,Winter 2023,https://www.ycombinator.com/companies/defer
152,Milio,Winter 2023,https://www.ycombinator.com/companies/milio
153,Pylon,Winter 2023,https://www.ycombinator.com/companies/pylon-2
154,Stralis Aircraft,Winter 2023,https://www.ycombinator.com/companies/stralis-aircraft
155,Corgi Labs,Winter 2023,https://www.ycombinator.com/companies/corgi-labs
156,Fern,Winter 2023,https://www.ycombinator.com/companies/fern
157,Persist AI,Winter 2023,https://www.ycombinator.com/companies/persist-ai
158,Skyhook,Winter 2023,https://www.ycombinator.com/companies/skyhook
159,HyLight,Summer 2023,https://www.ycombinator.com/companies/hylight
160,Magic Loops,Summer 2023,https://www.ycombinator.com/companies/magic-loops
161,Alguna,Summer 2023,https://www.ycombinator.com/companies/alguna
162,Chatter,Summer 2023,https://www.ycombinator.com/companies/chatter
163,ego,Winter 2024,https://www.ycombinator.com/companies/ego
164,Greptile,Winter 2024,https://www.ycombinator.com/companies/greptile
165,Artisan,Winter 2024,https://www.ycombinator.com/companies/artisan
166,Celest,Winter 2024,https://www.ycombinator.com/companies/celest
167,Zaymo,Winter 2024,https://www.ycombinator.com/companies/zaymo
168,sync.,Winter 2024,https://www.ycombinator.com/companies/sync-2
169,Aedilic,Winter 2024,https://www.ycombinator.com/companies/aedilic
170,Wuri,Winter 2024,https://www.ycombinator.com/companies/wuri
171,Pythagora,Winter 2024,https://www.ycombinator.com/companies/pythagora
172,Manifold Freight,Winter 2024,https://www.ycombinator.com/companies/manifold-freight
173,JustAI,Winter 2024,https://www.ycombinator.com/companies/justai
174,camelAI,Winter 2024,https://www.ycombinator.com/companies/camelai
175,Spur,Summer 2024,https://www.ycombinator.com/companies/spur
176,Piramidal,Winter 2024,https://www.ycombinator.com/companies/piramidal
177,GetCrux,Winter 2024,https://www.ycombinator.com/companies/getcrux
178,RetailReady,Winter 2024,https://www.ycombinator.com/companies/retailready
179,Saphira AI,Summer 2024,https://www.ycombinator.com/companies/saphira-ai
180,Decisional AI,Summer 2024,https://www.ycombinator.com/companies/decisional-ai
181,Mito Health,Summer 2024,https://www.ycombinator.com/companies/mito-health
182,Ontra Mobility,Summer 2024,https://www.ycombinator.com/companies/ontra-mobility
183,Thunder Compute,Summer 2024,https://www.ycombinator.com/companies/thunder-compute
184,The Forecasting Company,Summer 2024,https://www.ycombinator.com/companies/the-forecasting-company
185,Starcloud,Summer 2024,https://www.ycombinator.com/companies/starcloud
186,Kontigo,Summer 2024,https://www.ycombinator.com/companies/kontigo
187,Codebuff,Fall 2024,https://www.ycombinator.com/companies/codebuff
188,Autumn,Summer 2025,https://www.ycombinator.com/companies/autumn
189,Friday,Fall 2024,https://www.ycombinator.com/companies/friday
190,Revise Robotics,Winter 2025,https://www.ycombinator.com/companies/revise-robotics
191,Mosaic,Winter 2025,https://www.ycombinator.com/companies/mosaic-2
192,Cuckoo Labs,Winter 2025,https://www.ycombinator.com/companies/cuckoo-labs
193,Orbital Operations,Winter 2025,https://www.ycombinator.com/companies/orbital-operations
194,Misprint,Winter 2025,https://www.ycombinator.com/companies/misprint
195,Woz,Winter 2025,https://www.ycombinator.com/companies/woz
196,Paratus Health,Winter 2025,https://www.ycombinator.com/companies/paratus-health
197,Mentra,Winter 2025,https://www.ycombinator.com/companies/mentra
198,Cua,Spring 2025,https://www.ycombinator.com/companies/cua
199,Lotas,Summer 2025,https://www.ycombinator.com/companies/lotas
200,Lilac,Summer 2025,https://www.ycombinator.com/companies/lilac
201,Nozomio,Summer 2025,https://www.ycombinator.com/companies/nozomio
202,stagewise,Summer 2025,https://www.ycombinator.com/companies/stagewise
203,Perspectives Health,Summer 2025,https://www.ycombinator.com/companies/perspectives-health
204,Luminal,Summer 2025,https://www.ycombinator.com/companies/luminal
205,Kaigo Health,Fall 2025,https://www.ycombinator.com/companies/kaigo-health
206,Questom,Fall 2025,https://www.ycombinator.com/companies/questom
207,Wardstone,Fall 2025,https://www.ycombinator.com/companies/wardstone
208,AnswerThis,Fall 2025,https://www.ycombinator.com/companies/answerthis
209,Specific,Fall 2025,https://www.ycombinator.com/companies/specific
210,Clad Labs,Fall 2025,https://www.ycombinator.com/companies/clad-labs
211,Exonic,Fall 2025,https://www.ycombinator.com/companies/exonic
212,Arcline,Winter 2026,https://www.ycombinator.com/companies/arcline
213,Librar Labs,Winter 2026,https://www.ycombinator.com/companies/librar-labs
